title,rating,release_date,release_date_source,release_date_confidence,year,countries,genres,summary,smart_tags,url,tmdb_tags,douban_id,cover,directors,casts,movie_key,decision_status,duration,release_year,feedback_status,decision_score
非穷尽列举,9.2,2025,douban_abstract,low,2025,英国,剧情,如果字幕坚持把每一个feminist都翻成“女人”的话，也行，每个女人都应该是女权主义者,"女权主义者, feminist, 翻成, 字幕, 女人",https://movie.douban.com/subject/37293378/,,37293378,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2930171065.jpg,['贾斯汀·马丁'],"['裴淳华', '杰米·格洛弗']",douban:37293378,selected,112分钟,2025,new,92.0
周六夜现场五十周年特别篇,9.1,2025,douban_abstract,low,2025,美国,"喜剧, 音乐, 脱口秀",没有小芳的SNL是不完整的😭（活在短片和广告里不算）最大的感受就是：好—多—人—啊——！壮姐Kate玛雅Leslie三表哥Jason两个Will还有Beck，我喜欢你们❤️扫兴黛比、悲惨龙虾、醉叔叔Bobby和Domingo，我喜欢你们❤️早年当酒吧go go boy、曾在上海精准跟上广场舞阿姨的Pedro如今唱espresso竟然拍子三次都进不对，保守拉丁家庭的儿子终于还是和自己的妈妈和姑妈成了三兄弟🙏林漫威和（和大悲25th同款被身旁女声消音的）Nick Jonas两个真•音乐剧演员竟成了音乐剧恶搞段子里嗓子最差的两人，至此已成艺术🆘最震惊的还是Martin Short让SNL也没能幸免于“梅完梅了”，一个梅太后一个匠妹我真想立刻看她们host一期,"SNL, go, 音乐剧, 壮姐, Kate",https://movie.douban.com/subject/37225845/,,37225845,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2918494547.jpg,['莉兹·帕特里克'],"['洛恩·迈克尔斯', '史蒂夫·马丁', '汤姆·汉克斯', '约翰·木兰尼', '马丁·肖特']",douban:37225845,selected,210分钟,2025,new,91.0
世界的主人,9.0,2025,douban_abstract,low,2025,韩国,剧情,平遥收走了我的眼泪。看到这样的韩片，我的脑海里总会浮现三个问题：1、当下，这样的电影为什么不能在我们的影院上映？2、当前，我们的电影人为什么不拍这样的电影？3、此刻，电影人会为影院里上映的那些国产片感到羞耻吗？,"电影, 影院, 上映, 国产片, 韩片",https://movie.douban.com/subject/37116612/,,37116612,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2924183583.jpg,['尹佳恩'],"['徐粹彬', '张慧珍', '金郑植', '李宰锡', '姜彩允']",douban:37116612,selected,119分钟,2025,new,90.0
万物生灵：2025圣诞特别集,8.9,2025,douban_abstract,low,2025,英国,剧情,无人配得上我霍尔太太😤,"配得, 霍尔, 无人, 太太",https://movie.douban.com/subject/36787731/,,36787731,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2927816384.jpg,[],"['尼古拉斯·瑞夫', '蕾切尔·申顿', '萨缪尔·韦斯特', '安娜·梅德利', '卡勒姆·伍德豪斯']",douban:36787731,selected,60分钟,2025,new,89.0
吉安马可·索雷西：欢乐窃贼,8.9,2025,douban_abstract,low,2025,美国,,BV1M3pXzKEWz｜4.5，年度十佳！之前看过几个小专场都还行，这回第一次出全长。出了就第一时间看了，年度最强轻松活泼系地狱笑话选手诞生。一上来就支离破碎家庭问题梗全都很爆-年纪大了问题依然怪父母心安理得！Ex-stepdad+sugar daddy！整个家里就没有不渣的哈哈哈哈哈，然后讲到自己Theater专业和取向也超搞笑。再加上大量自杀笑话……一堆没点真实经历写不出来的段子。台风超多动超爱演，然后因为举手投足都很（）还被人骂gay-baiting笑死我了……,"笑话, 年度, BV1M3pXzKEWz, 4.5, Ex",https://movie.douban.com/subject/37496194/,,37496194,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2925244059.jpg,[],['吉安马可·索雷西'],douban:37496194,selected,,2025,new,89.0
南京照相馆,8.8,2025,douban_abstract,low,2025,中国大陆,"剧情, 历史, 战争",药水冲洗的不是照片是人命，鲜血淘洗的不是湖水是民仇，荆棘划破的不是脊背是傲骨，尖刀刺穿的不是血肉是国恨。仁义礼智信的儒道不容亵侮，日行千里的山河不能让人，穆桂英的未来不是嫁给秦桧，胡蝶同台的表演不是为了偷生。贡院街见证一座城的生，照相馆影印一座城的死。罄竹之罪，血洗的胶片都记得。,"不是, 礼智信, 一座, 是民仇, 傲骨",https://movie.douban.com/subject/36809864/,,36809864,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2924276740.jpg,['申奥'],"['刘昊然', '王传君', '高叶', '王骁', '周游']",douban:36809864,selected,137分钟,2025,new,88.0
F1：狂飙飞车,8.7,2025,douban_abstract,low,2025,美国,"剧情, 动作, 运动",可以说是今年商业片最强了，简直就是陆地版《壮志凌云2》，引擎轰鸣声震得人热血沸腾，流畅叙事，劲爆音效，史诗音乐，以及热血精神一个都不缺，这片子和布拉德·皮特一样——“老套但就是好看”，尤其是布拉德·皮特，简直了，每一帧都在散发巨星魅力。,"布拉德, 皮特, 简直, 音效, 震得",https://movie.douban.com/subject/35689244/,,35689244,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2922238175.jpg,['约瑟夫·科辛斯基'],"['布拉德·皮特', '戴姆森·伊德瑞斯', '哈维尔·巴登', '凯瑞·康顿', '托比亚斯·门基斯']",douban:35689244,selected,156分钟,2025,new,87.0
罗小黑战记2,8.7,2025,douban_abstract,low,2025,中国大陆,"动画, 奇幻, 冒险",瑕不掩瑜。非常好的一点是，一点儿爹味都没有，不judge任何人（妖精），没有任何人（妖精）需要被打败或悔过。这在中国的大型说教重灾区———国漫中已是十分可贵。,"妖精, 任何人, 瑕不掩瑜, 爹味, judge",https://movie.douban.com/subject/36448279/,,36448279,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2923537864.jpg,"['木头', '顾杰']","['山新', '刘明月', '朱婧', '栾立胜', '傅晨阳']",douban:36448279,selected,119分钟,2025,new,87.0
寂静的朋友,8.7,2025,douban_abstract,low,2025,德国,"剧情, 科幻",三星半，素食主义者看完请发表三百字忏悔,"素食主义者, 完请, 忏悔, 三百, 三星",https://movie.douban.com/subject/26967871/,,26967871,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2929549798.jpg,['伊尔蒂科·茵叶蒂'],"['梁朝伟', '卢娜·韦德勒', '恩佐·布鲁姆', '蕾雅·赛杜', '西尔维斯特·格罗特']",douban:26967871,selected,147分钟,2025,new,87.0
近乎正常,8.7,2025,douban_abstract,low,2025,英国,"剧情, 歌舞",我不确定用家庭喜剧来给双相情感障碍破题是不是一个好的解法，它用音乐为患者搭建了一个近乎童话的治疗环境：丈夫不离不弃，医生德艺双馨，女儿想要被妈妈看见（女儿十六年都在对抗一个几乎不可能战胜的幻觉），干净的社会关系，配套成熟的社区，不用担心经济问题，直到患者决定独自面对内心的问题为止。事实上那些现实以下的创伤比亮丽的舞台要来得溃烂和肮脏。但至少提供了一种解法吧，哪怕它只是一针舞台镇痛剂。,"解法, 舞台, 德艺双馨, 双相, 患者",https://movie.douban.com/subject/37271208/,,37271208,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2927179949.jpg,"['Michael Longhurst', 'Austin Shaw']","['埃莉诺•沃辛顿-考克斯', '杰米·帕克', '杰克·沃尔夫']",douban:37271208,selected,,2025,new,87.0
唐顿庄园3,8.6,2025,douban_abstract,low,2025,英国,剧情,美国属于明天，而英国——英国只有过去和现在，电影捕捉到了新老帝国交替的余晖。最后大小姐站在大厅，过去的幽灵一一浮现，跳起最后一支舞，突然觉得这样的结局也不错。奶奶的出场不是AI，而是以前电视剧的片段，让我看到了对逝者的尊重。拜拜，唐顿庄园。,"AI, 唐顿, 余晖, 拜拜, 逝者",https://movie.douban.com/subject/35881440/,,35881440,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2922967026.jpg,['西蒙·柯蒂斯'],"['米歇尔·道克瑞', '休·博纳维尔', '伊丽莎白·麦戈文', '劳拉·卡尔迈克尔', '吉姆·卡特']",douban:35881440,selected,123分钟,2025,new,86.0
莫里哀：音乐剧,8.6,2025,douban_abstract,low,2025,法国,,天才溺亡的故事总是会让人动容的...有法国宫廷做背景，带着才华和野心入局的人最终陷落到历史的流沙里，岿然不动的只有浮华本身，但短暂出场沐浴在这么多爱里又是那么幸运。喜欢后半场的玛德莱娜，她对莫里哀的宽恕有种母亲的悲悯。孔蒂高音太虚了大段独唱完全煎熬...,"..., 德莱娜, 溺亡, 入局, 岿然不动",https://movie.douban.com/subject/37442893/,,37442893,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2923562695.jpg,['Ladislas Chollat'],"['David Alexis', 'Abi Bernadoth', 'Lou Jean', 'Shaina Pronzola', 'Tommy Tremblay']",douban:37442893,selected,,2025,new,86.0
魔法坏女巫：奇幻之夜,8.6,2025,douban_abstract,low,2025,美国,"音乐, 歌舞",聽哭很多 spoiled the for good surprise所以扣一星,"spoiled, good, surprise, 扣一星, 很多",https://movie.douban.com/subject/37352648/,,37352648,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2929166541.jpg,"['保罗·达格代尔', '凯恩·萨菲亚里', '克里斯多夫·斯科特']","['辛西娅·埃里沃', '爱莉安娜·格兰德', '杨紫琼', '杰夫·高布伦', '伊迪娜·门泽尔']",douban:37352648,selected,80分钟,2025,new,86.0
奇爱博士,8.6,2025,douban_abstract,low,2025,英国,,NT里极少数看主创配置就能感觉到“大事很妙”的一部，Armando Iannucci仿佛注定改编这个项目，他一直最擅长的东西和过往名作带来的影响借由新的舞台和形式继续绽放光彩；也非常惊叹Steve Coogan在有些时候极限转场转角色的收放自如。虽然原片“一边发笑讽刺一边发冷惊悚”的感觉独一无二，也基本没有在改编作更多足够惊喜的突破，但值得一看。,"改编, 很妙, 原片, NT, Armando",https://movie.douban.com/subject/37149048/,,37149048,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2916703020.jpg,['肖恩·福利'],"['史蒂夫·库根', '奥利弗·阿尔文-威尔逊']",douban:37149048,selected,,2025,new,86.0
浪浪山小妖怪,8.5,2025,douban_abstract,low,2025,中国大陆,"剧情, 喜剧, 动画, 奇幻",不知道为啥看到话唠变得沉默有点儿莫名伤心…,"莫名, 有点儿, 为啥, 伤心, 沉默",https://movie.douban.com/subject/36438475/,,36438475,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2923770138.jpg,['於水'],"['陈子平', '路扬', '董汶亮', '刘琮', '林强']",douban:36438475,selected,118分钟,2025,new,85.0
